원본행,교과군,과목명,학교지정,학년선택,과목유형,비고_전문_고시외_표6,학생선택_원문,선택군_코드,선택군_학년학기,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,기본학점,1-1_원본,1-2_원본,2-1_원본,2-2_원본,3-1_원본,3-2_원본,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,편성학점,교과군별이수학점,필수이수학점,과학중점,정보중점,사회중점,인문중점,캠공개설여부,비고
8,국어,공통국어1,True,,공통,,,,,,,,,4,3,,,,,,3,,,,,,3,19,8,,,,,,
9,국어,공통국어2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,19,8,,,,,,
10,국어,문학,True,,일반,,,,,,,,,4,,,4,,,,,,4,,,,4,19,8,,,,,,
11,국어,독서와 작문,True,,일반,,,,,,,,,4,,,,4,,,,,,4,,,4,19,8,,,,,,
12,국어,화법과 언어,True,,일반,,,,,,,,,4,,,,,4,,,,,,4,,4,19,8,,,,,,
13,수학,공통수학1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,19,8,,,,,,
14,수학,공통수학2,True,,공통,,,,,,,,,4,,3,,,,,,3,,,,,3,19,8,,,,,,
15,수학,대수,True,,일반,,,,,,,,,4,,,4,,,,,,4,,,,4,19,8,,,,,,
16,수학,미적분Ⅰ,True,,일반,,,,,,,,,4,,,,4,,,,,,4,,,4,19,8,,,,,,
17,수학,확률과 통계,True,,일반,,,,,,,,,4,,,,,4,,,,,,4,,4,19,8,,,,,,
18,영어,공통영어1,True,,공통,,,,,,,,,4,3,,,,,,3,,,,,,3,18,8,,,,,,
19,영어,공통영어2,True,,공통,,,,,,,,,4,,3,,,,,,3,,,,,3,18,8,,,,,,
20,영어,영어Ⅰ,True,,일반,,,,,,,,,4,,,4,,,,,,4,,,,4,18,8,,,,,,
21,영어,영어Ⅱ,True,,일반,,,,,,,,,4,,,,4,,,,,,4,,,4,18,8,,,,,,
22,영어,영어 독해와 작문,True,,일반,,,,,,,,,4,,,,,4,,,,,,4,,4,18,8,,,,,,
23,사회(역사/도덕 포함),한국사1,True,,공통,,,,,,,,,3,3,,,,,,3,,,,,,3,6,6,,,,,,
24,사회(역사/도덕 포함),한국사2,True,,공통,,,,,,,,,3,,3,,,,,,3,,,,,3,6,6,,,,,,
25,사회(역사/도덕 포함),통합사회1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,8,8,,,,,,
26,사회(역사/도덕 포함),통합사회2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,8,8,,,,,,
27,과학,통합과학1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,10,10,,,,,,
28,과학,통합과학2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,10,10,,,,,,
29,과학,과학탐구실험1,True,,공통,,,,,,,,,1,(1),1,,,,,1,1,,,,,1,10,10,,,,,,
30,과학,과학탐구실험2,True,,공통,,,,,,,,,1,(1),1,,,,,1,1,,,,,1,10,10,,,,,,
31,체육,체육1,True,,일반,,,,,,,,,3,2,,,,,,2,,,,,,2,10,10,,,,,,
32,체육,체육2,True,,일반,,,,,,,,,3,,2,,,,,,2,,,,,2,10,10,,,,,,
33,체육,스포츠 생활1,True,,융합,,,,,,,,,3,,,2,,,,,,2,,,,2,10,10,,,,,,
34,체육,스포츠 생활2,True,,융합,,,,,,,,,3,,,,2,,,,,,2,,,2,10,10,,,,,,
