선택군_코드,선택군_학년학기,선택군_원문,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,대상과목수,대상과목목록
2-1-선택군1-택2(4),2-1,택2,2,4,8,39:46,8,세계시민과 지리; 사회와 문화; 현대사회와 윤리; 세계사; 물리학; 화학; 생명과학; 지구과학
2-1-선택군7-택1(3),2-1,택1,1,3,3,81:83,3,중국어; 일본어; 한문
2-1/2-2-선택군9-학기별택1(2),2-1/2-2,학기별택1,1,2,4,87:90,4,진로와 직업; 보건; 교육의 이해; 인간과 심리
2-2-선택군2-택2(4),2-2,택2,2,4,8,47:54,8,한국지리 탐구; 법과 사회; 윤리와 사상; 세계사; 물리학; 화학; 생명과학; 지구과학
2-2-선택군8-택1(3),2-2,택1,1,3,3,84:86,3,중국어 회화; 일본어 회화; 언어 생활과 한자
3-1-선택군10-택1(3),3-1,택1,1,3,3,91:96,6,정보; 로봇과 공학 세계; 아동발달과 부모; 중국 문화; 일본 문화; 한문 고전 읽기
3-1-선택군3-택2(3),3-1,택2,2,3,6,55:59,5,주제 탐구 독서; 기하; 미적분Ⅱ; 영어 독해와 작문; 미디어 영어
3-1-선택군4-택2(4),3-1,택2,2,4,8,60:69,10,도시의 미래 탐구; 경제; 인문학과 윤리; 동아시아 역사 기행; 기후변화와 지속가능한 세계; 세포와 물질대사; 물질과 에너지; 역학과 에너지; 지구시스템과학; 과학의 역사와 문화
3-2-선택군5-택4(4),3-2,택4,4,4,16,70:75,6,문학과 영상; 독서 토론과 글쓰기; 경제 수학; 실용 통계; 영미 문학 읽기; 심화 영어
3-2-선택군6-택2(4),3-2,택2,2,4,8,76:80,5,여행지리; 윤리문제 탐구; 금융과 경제생활; 역사로 탐구하는현대 세계; 기후변화와 환경생태
