과목명,과목유형,기본학점
공통국어1,공통,4
공통국어2,공통,4
독서와 작문,일반,4
문학,일반,4
화법과 언어,일반,4
공통수학1,공통,4
공통수학2,공통,4
대수,일반,4
미적분Ⅰ,일반,4
확률과 통계,일반,4
공통영어1,공통,4
공통영어2,공통,4
영어Ⅰ,일반,4
영어Ⅱ,일반,4
영어 독해와 작문,일반,4
한국사1,공통,3
한국사2,공통,3
통합사회1,공통,4
통합사회2,공통,4
통합과학1,공통,4
통합과학2,공통,4
과학탐구실험1,공통,1
과학탐구실험2,공통,1
체육1,일반,3
체육2,일반,3
스포츠 과학,진로,2
스포츠 문화,진로,2
스포츠 생활1,융합,3
스포츠 생활2,융합,3
음악↔미술,일반,3
기술·가정↔정보,일반,4
사회와 문화,일반,4
세계시민과 지리,일반,4
동아시아 역사 기행,진로,4
윤리와 사상,진로,4
윤리문제 탐구,융합,4
물리학,일반,4
화학,일반,4
생명과학,일반,4
지구과학,일반,4
기하,진로,4
세계사,일반,4
현대사회와 윤리,일반,4
법과 사회,진로,4
경제,진로,4
도시의 미래 탐구,진로,4
여행지리,융합,4
역학과 에너지,진로,4
물질과 에너지,진로,4
세포와 물질대사,진로,4
지구시스템과학,진로,4
일본어,일반,4
중국어,일반,4
일본어 회화,진로,4
중국어 회화,진로,4
미적분Ⅱ,진로,4
정치,진로,4
국제 관계의 이해,진로,4
한국지리 탐구,진로,4
인문학과 윤리,진로,4
사회문제 탐구,융합,4
전자기와 양자,진로,4
화학 반응의 세계,진로,4
생물의 유전,진로,4
행성우주과학,진로,4
융합과학 탐구,융합,4
창의 공학 설계,융합,4
인공지능 기초,진로,4
일본 문화,융합,4
중국 문화,융합,4
음악 연주와 창작,진로,3
미술과 매체,융합,3
보건,진로,3
생태와 환경,일반,3
인간과 심리,진로,3
주제 탐구 독서,진로,4
문학과 영상,진로,4
실용 통계,융합,4
수학과 문화,융합,4
심화 영어 독해와 작문,진로,4
실생활 영어 회화,융합,4
역사로 탐구하는 현대 세계,융합,4
기후변화와 지속가능한 세계,융합,4
과학의 역사와 문화,융합,4
기후변화와 환경생태,융합,4
지식 재산 일반,융합,4
소프트웨어와 생활,융합,4
심화 일본어,진로,4
심화 중국어,진로,4
음악과 미디어,융합,3
미술 창작,진로,3
인간과 철학,진로,3
논리와 사고,진로,3
인간과 경제활동,융합,3
