원본행,교과군,과목명,학교지정,학년선택,과목유형,비고_전문_고시외_표6,학생선택_원문,선택군_코드,선택군_학년학기,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,기본학점,1-1_원본,1-2_원본,2-1_원본,2-2_원본,3-1_원본,3-2_원본,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,편성학점,교과군별이수학점,필수이수학점,과학중점,정보중점,사회중점,인문중점,캠공개설여부,비고
5,국어,공통국어1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,20,,,,,,,
6,국어,공통국어2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,,,,,,,,
7,국어,독서와 작문,True,,일반,,,,,,,,,4,,,4,,,,,,4,,,,4,,,,,,,,
8,국어,문학,True,,일반,,,,,,,,,4,,,,4,,,,,,4,,,4,,,,,,,,
9,국어,화법과 언어,True,,일반,,,,,,,,,4,,,,,4,,,,,,4,,4,,,,,,,,
10,수학,공통수학1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,20,,,,,,,
11,수학,공통수학2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,,,,,,,,
12,수학,대수,True,,일반,,,,,,,,,4,,,4,,,,,,4,,,,4,,,,,,,,
13,수학,미적분Ⅰ,True,,일반,,,,,,,,,4,,,,4,,,,,,4,,,4,,,,,,,,
14,수학,확률과 통계,True,,일반,,,,,,,,,4,,,,,4,,,,,,4,,4,,,,,,,,
15,영어,공통영어1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,20,,,,,,,
16,영어,공통영어2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,,,,,,,,
17,영어,영어Ⅰ,True,,일반,,,,,,,,,4,,,4,,,,,,4,,,,4,,,,,,,,
18,영어,영어Ⅱ,True,,일반,,,,,,,,,4,,,,4,,,,,,4,,,4,,,,,,,,
19,영어,영어 독해와 작문,True,,일반,,,,,,,,,4,,,,,4,,,,,,4,,4,,,,,,,,
20,사회,한국사1,True,,공통,,,,,,,,,3,3,,,,,,3,,,,,,3,6,,,,,,,
21,사회,한국사2,True,,공통,,,,,,,,,3,,3,,,,,,3,,,,,3,,,,,,,,
22,사회,통합사회1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,8,,,,,,,
23,사회,통합사회2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,,,,,,,,
24,과학,통합과학1,True,,공통,,,,,,,,,4,4,,,,,,4,,,,,,4,10,,,,,,,
