선택군_코드,선택군_학년학기,선택군_원문,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,대상과목수,대상과목목록
2-1-선택군A,2-1,택3 (4),3,4,12,38:46,9,사회와 문화; 세계시민과 지리; 동아시아 역사 기행; 윤리와 사상; 윤리문제 탐구; 물리학; 화학; 생명과학; 지구과학
2-2-선택군B,2-2,택3 (4),3,4,12,47:57,11,기하; 세계사; 현대사회와 윤리; 법과 사회; 경제; 도시의 미래 탐구; 여행지리; 역학과 에너지; 물질과 에너지; 세포와 물질대사; 지구시스템과학
2-1-선택군C,2-1,택1 (3),1,3,3,58:59,2,일본어; 중국어
2-2-선택군D,2-2,택1 (3),1,3,3,60:61,2,일본어 회화; 중국어 회화
3-1-선택군E,3-1,택3 (3),3,3,9,62:76,15,미적분Ⅱ; 정치; 국제 관계의 이해; 한국지리 탐구; 인문학과 윤리; 사회문제 탐구; 전자기와 양자; 화학 반응의 세계; 생물의 유전; 행성우주과학; 융합과학 탐구; 창의 공학 설계; 인공지능 기초; 일본 문화; 중국 문화
3-1-선택군F,3-1,택1 (3),1,3,3,77:78,2,음악 연주와 창작; 미술과 매체
3-1-선택군G,3-1,택1 (2),1,2,2,79:81,3,보건; 생태와 환경; 인간과 심리
3-2-선택군H,3-2,택3 (4),3,4,12,82:87,6,주제 탐구 독서; 문학과 영상; 실용 통계; 수학과 문화; 심화 영어 독해와 작문; 실생활 영어 회화
3-2-선택군I,3-2,택3 (3),3,3,9,88:95,8,역사로 탐구하는 현대 세계; 기후변화와 지속가능한 세계; 과학의 역사와 문화; 기후변화와 환경생태; 지식 재산 일반; 소프트웨어와 생활; 심화 일본어; 심화 중국어
3-2-선택군J,3-2,택1 (3),1,3,3,96:97,2,음악과 미디어; 미술 창작
3-2-선택군K,3-2,택1 (2),1,2,2,98:100,3,인간과 철학; 논리와 사고; 인간과 경제활동
